species	sample_1	sample_2	number_of_changes	opportunities	change_rate	mouse_1	mouse_2	cage_1	cage_2	location_1	location_2	orientation	coarse_location_1	coarse_location_2	taxonomic_assignment
209914	Col_1_2	Col_2_3	1	61046.0	1.6381089670084856e-05	2	3	1	2	Colon	Colon	Between host	Large intestine	Large intestine	g__AM07-15
205567	Ile_2_3	Ile_3_3	1	163503.0	6.116095729130352e-06	3	3	2	3	Ileum	Ileum	Between host	Small intestine	Small intestine	Ligilactobacillus murinu
209914	Col_1_3	Col_2_3	1	61117.0	1.6362059656069506e-05	3	3	1	2	Colon	Colon	Between host	Large intestine	Large intestine	g__AM07-15
209914	Col_1_3	Col_3_1	1	61095.0	1.636795155086341e-05	3	1	1	3	Colon	Colon	Between host	Large intestine	Large intestine	g__AM07-15
205567	Ile_2_2	Jej_3_3	1	162021.0	6.17203942698786e-06	2	3	2	3	Ileum	Jejunum	Between host	Small intestine	Small intestine	Ligilactobacillus murinu
205567	Ile_2_1	Jej_3_3	1	162291.0	6.161771139496337e-06	1	3	2	3	Ileum	Jejunum	Between host	Small intestine	Small intestine	Ligilactobacillus murinu
205567	Col_2_2	Ile_3_3	1	163607.0	6.112207912864364e-06	2	3	2	3	Colon	Ileum	Between host	Large intestine	Small intestine	Ligilactobacillus murinu
209914	Col_2_1	Col_3_1	1	61135.0	1.635724216897031e-05	1	1	2	3	Colon	Colon	Between host	Large intestine	Large intestine	g__AM07-15
209914	Col_2_3	Col_3_1	1	61196.0	1.6340937316164456e-05	3	1	2	3	Colon	Colon	Between host	Large intestine	Large intestine	g__AM07-15
205567	Ile_2_2	Ile_3_3	1	163510.0	6.11583389395144e-06	2	3	2	3	Ileum	Ileum	Between host	Small intestine	Small intestine	Ligilactobacillus murinu
205567	Ile_1_2	Ile_3_3	1	163255.0	6.12538666503323e-06	2	3	1	3	Ileum	Ileum	Between host	Small intestine	Small intestine	Ligilactobacillus murinu
209914	Cec_3_1	Col_1_3	1	61117.0	1.6362059656069506e-05	1	3	3	1	Cecum	Colon	Between host	Large intestine	Large intestine	g__AM07-15
205567	Ile_3_3	Jej_1_3	1	163413.0	6.119464179716424e-06	3	3	3	1	Ileum	Jejunum	Between host	Small intestine	Small intestine	Ligilactobacillus murinu
205567	Jej_1_2	Jej_3_3	1	161894.0	6.176881169160068e-06	2	3	1	3	Jejunum	Jejunum	Between host	Small intestine	Small intestine	Ligilactobacillus murinu
205567	Col_1_2	Jej_3_3	1	161871.0	6.177758832650691e-06	2	3	1	3	Colon	Jejunum	Between host	Large intestine	Small intestine	Ligilactobacillus murinu
205567	Cec_2_2	Ile_3_3	1	163495.0	6.116394996788892e-06	2	3	2	3	Cecum	Ileum	Between host	Large intestine	Small intestine	Ligilactobacillus murinu
261649	Cec_3_1	Col_2_2	1	99106.0	1.0090206445623878e-05	1	2	3	2	Cecum	Colon	Between host	Large intestine	Large intestine	f__UBA3700
205567	Jej_2_3	Jej_3_3	1	162005.0	6.172648992315052e-06	3	3	2	3	Jejunum	Jejunum	Between host	Small intestine	Small intestine	Ligilactobacillus murinu
205567	Cec_1_1	Ile_3_3	1	163448.0	6.118153785913563e-06	1	3	1	3	Cecum	Ileum	Between host	Large intestine	Small intestine	Ligilactobacillus murinu
209914	Cec_1_3	Col_2_3	1	61129.0	1.6358847682769225e-05	3	3	1	2	Cecum	Colon	Between host	Large intestine	Large intestine	g__AM07-15
205567	Jej_2_1	Jej_3_3	1	162149.0	6.167167235073914e-06	1	3	2	3	Jejunum	Jejunum	Between host	Small intestine	Small intestine	Ligilactobacillus murinu
259253	Cec_3_1	Cec_3_2	1	55539.0	1.8005365598948486e-05	1	2	3	3	Cecum	Cecum	Between host	Large intestine	Large intestine	g__UBA9475 (259253)
209914	Cec_1_3	Col_3_1	1	61159.0	1.635082326395134e-05	3	1	1	3	Cecum	Colon	Between host	Large intestine	Large intestine	g__AM07-15
205567	Jej_1_3	Jej_3_3	1	161974.0	6.173830367836813e-06	3	3	1	3	Jejunum	Jejunum	Between host	Small intestine	Small intestine	Ligilactobacillus murinu
205567	Ile_3_3	Jej_2_1	1	163666.0	6.110004521403346e-06	3	1	3	2	Ileum	Jejunum	Between host	Small intestine	Small intestine	Ligilactobacillus murinu
205567	Cec_1_1	Col_3_3	1	164051.0	6.095665372353719e-06	1	3	1	3	Cecum	Colon	Between host	Large intestine	Large intestine	Ligilactobacillus murinu
205567	Col_1_2	Ile_3_3	1	163359.0	6.121487031629723e-06	2	3	1	3	Colon	Ileum	Between host	Large intestine	Small intestine	Ligilactobacillus murinu
266763	Cec_1_2	Col_2_3	1	84277.0	1.186563356550423e-05	2	3	1	2	Cecum	Colon	Between host	Large intestine	Large intestine	g__Eubacterium_F
209914	Cec_2_1	Cec_3_1	1	61231.0	1.633159674021329e-05	1	1	2	3	Cecum	Cecum	Between host	Large intestine	Large intestine	g__AM07-15
209914	Cec_2_3	Col_1_3	1	61137.0	1.6356707067733123e-05	3	3	2	1	Cecum	Colon	Between host	Large intestine	Large intestine	g__AM07-15
205567	Col_1_2	Col_3_3	1	163926.0	6.100313556116784e-06	2	3	1	3	Colon	Colon	Between host	Large intestine	Large intestine	Ligilactobacillus murinu
205567	Ile_3_3	Jej_2_3	1	163398.0	6.120025948910024e-06	3	3	3	2	Ileum	Jejunum	Between host	Small intestine	Small intestine	Ligilactobacillus murinu
205567	Ile_1_1	Jej_3_3	1	162032.0	6.171620420657648e-06	1	3	1	3	Ileum	Jejunum	Between host	Small intestine	Small intestine	Ligilactobacillus murinu
261649	Cec_3_1	Col_3_2	1	99234.0	1.0077191285244977e-05	1	2	3	3	Cecum	Colon	Between host	Large intestine	Large intestine	f__UBA3700
205567	Cec_2_1	Jej_3_3	1	162057.0	6.170668345088456e-06	1	3	2	3	Cecum	Jejunum	Between host	Large intestine	Small intestine	Ligilactobacillus murinu
261649	Cec_3_1	Col_2_3	1	99786.0	1.0021445894213618e-05	1	3	3	2	Cecum	Colon	Between host	Large intestine	Large intestine	f__UBA3700
205567	Col_2_1	Ile_3_3	1	163595.0	6.112656254775513e-06	1	3	2	3	Colon	Ileum	Between host	Large intestine	Small intestine	Ligilactobacillus murinu
209914	Cec_2_3	Col_1_2	1	61074.0	1.6373579591970396e-05	3	2	2	1	Cecum	Colon	Between host	Large intestine	Large intestine	g__AM07-15
205567	Ile_1_1	Ile_3_3	1	163456.0	6.1178543461237275e-06	1	3	1	3	Ileum	Ileum	Between host	Small intestine	Small intestine	Ligilactobacillus murinu
