genome	species_id	representative	genome_is_representative	species	taxonomy	ANI circumscription radius	Mean intra-species ANI	Min intra-species ANI	Mean intra-species AF	Min intra-species AF	No. clustered genomes
MGBC000563	100563	MGBC000563	1	s__Frisingicoccus caecimuris	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Frisingicoccus;s__Frisingicoccus caecimuris						1
MGBC000564	100564	MGBC000564	1	s__Blautia_A sp000433815	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp000433815						1
MGBC000565	100565	MGBC000565	1	g__Actinomyces	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__						1
MGBC000568	100568	MGBC000568	1	f__Garciellaceae	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Eubacteriales;f__Garciellaceae;g__;s__						1
MGBC000569	100569	MGBC000569	1	s__Enterocloster bolteae	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster bolteae						1
MGBC000573	100573	MGBC000573	1	s__Enterococcus_B hirae	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B hirae						2
MGBC000574	100574	MGBC000574	1	s__Staphylococcus xylosus	d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus xylosus						8
MGBC000577	100577	MGBC000577	1	s__Bacteroides xylanisolvens	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides xylanisolvens						1
MGBC000578	100578	MGBC000578	1	s__Paraclostridium bifermentans	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Paraclostridium;s__Paraclostridium bifermentans						1
MGBC000582	100582	MGBC000582	1	s__Rodentibacter heylii	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Rodentibacter;s__Rodentibacter heylii						2
MGBC000585	100585	MGBC000585	1	s__Longicatena caecimuris	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Longicatena;s__Longicatena caecimuris						1
MGBC000586	100586	MGBC000586	1	s__Clostridium_Q symbiosum	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q;s__Clostridium_Q symbiosum						1
MGBC000588	100588	MGBC000588	1	s__Longicatena innocuum	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Longicatena;s__Longicatena innocuum						5
MGBC000589	100589	MGBC000589	1	s__Clostridium_F tepidum	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_F;s__Clostridium_F tepidum						1
MGBC000596	100596	MGBC000596	1	s__Erysipelatoclostridium ramosum	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium;s__Erysipelatoclostridium ramosum						1
MGBC000597	100597	MGBC000597	1	s__Anaerosalibacter_A massiliensis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Sporanaerobacteraceae;g__Anaerosalibacter_A;s__Anaerosalibacter_A massiliensis						1
MGBC000599	100599	MGBC000599	1	s__Oceanobacillus caeni	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Amphibacillaceae;g__Oceanobacillus;s__Oceanobacillus caeni						1
MGBC000600	100600	MGBC000600	1	s__Acetatifactor muris	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor muris						1
MGBC000601	100601	MGBC000601	1	s__Paeniclostridium sordellii	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Paeniclostridium;s__Paeniclostridium sordellii						1
MGBC000602	100602	MGBC000602	1	s__Bacillus_A cereus	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A cereus						1
MGBC000603	100603	MGBC000603	1	g__Clostridium	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__						1
MGBC000604	100604	MGBC000604	1	s__Clostridium_G cochlearium	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_G;s__Clostridium_G cochlearium						1
MGBC000606	100606	MGBC000606	1	s__Lactobacillus rodentium	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus rodentium						1
MGBC000607	100607	MGBC000607	1	s__Intestinimonas butyriciproducens	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Intestinimonas;s__Intestinimonas butyriciproducens						1
MGBC100019	200019	MGBC100019	1	g__Rikenella	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenella;s__						2
MGBC100069	200069	MGBC100069	1	g__CAG-510	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-510;s__						2
MGBC100080	200080	MGBC100080	1	g__Acetatifactor	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__						1
MGBC100084	200084	MGBC100084	1	g__1XD8-76	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__1XD8-76;s__						1
MGBC100111	200111	MGBC100111	1	g__UBA11963	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-1000;g__UBA11963;s__						1
MGBC100127	200127	MGBC100127	1	g__Eubacterium_R	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__						3
MGBC100138	200138	MGBC100138	1	g__Parabacteroides	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__						19
MGBC100158	200158	MGBC100158	1	g__Ruminococcus	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus;s__						4
MGBC100162	200162	MGBC100162	1	s__CAG-873 sp001689665	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp001689665						73
MGBC100163	200163	MGBC100163	1	g__Tidjanibacter	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Tidjanibacter;s__						16
MGBC100164	200164	MGBC100164	1	g__Butyrivibrio_A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyrivibrio_A;s__						4
MGBC100172	200172	MGBC100172	1	g__Kineothrix	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Kineothrix;s__						1
MGBC100174	200174	MGBC100174	1	f__Lachnospiraceae	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__						55
MGBC100230	200230	MGBC100230	1	g__CAG-510	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-510;s__						2
MGBC100255	200255	MGBC100255	1	s__UBA7050 sp003979345	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7050;s__UBA7050 sp003979345						24
MGBC100264	200264	MGBC100264	1	s__UBA7173 sp900548705	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__UBA7173 sp900548705						3
MGBC100288	200288	MGBC100288	1	f__Lachnospiraceae	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__						3
MGBC100310	200310	MGBC100310	1	g__Acetatifactor	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__						5
MGBC100320	200320	MGBC100320	1	f__CAG-552	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-552;g__;s__						1
MGBC100342	200342	MGBC100342	1	g__Eubacterium_F	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F;s__						1
MGBC100369	200369	MGBC100369	1	g__D16-34	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__D16-34;s__						2
MGBC100415	200415	MGBC100415	1	g__Allobaculum	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Allobaculum;s__						3
MGBC100798	200798	MGBC100798	1	f__UBA3700	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA3700;g__;s__						3
MGBC100967	200967	MGBC100967	1	g__1XD42-69	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__1XD42-69;s__						5
MGBC101044	201044	MGBC101044	1	g__CAG-95	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-95;s__						1
MGBC101100	201100	MGBC101100	1	g__CAG-485	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__						30
MGBC101131	201131	MGBC101131	1	g__Eubacterium_R	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__						28
MGBC101207	201207	MGBC101207	1	g__CAG-95	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-95;s__						4
MGBC101285	201285	MGBC101285	1	g__Mailhella	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Mailhella;s__						15
MGBC101403	201403	MGBC101403	1	g__Paramuribaculum	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__						8
MGBC101489	201489	MGBC101489	1	g__Acetatifactor	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__						9
MGBC101638	201638	MGBC101638	1	g__14-2	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__14-2;s__						43
MGBC101821	201821	MGBC101821	1	s__Kineothrix sp000403275	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Kineothrix;s__Kineothrix sp000403275						221
MGBC101899	201899	MGBC101899	1	g__UBA3282	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3282;s__						5
MGBC101916	201916	MGBC101916	1	g__Acutalibacter	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__						19
MGBC101917	201917	MGBC101917	1	g__Marseille-P3106	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Marseille-P3106;s__						1
MGBC101923	201923	MGBC101923	1	g__Oscillibacter	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__						3
MGBC101977	201977	MGBC101977	1	g__UBA11940	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__						1
MGBC101978	201978	MGBC101978	1	g__Oscillibacter	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__						2
MGBC101980	201980	MGBC101980	1	g__UBA3700	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA3700;g__UBA3700;s__						2
MGBC102041	202041	MGBC102041	1	g__CAG-115	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-115;s__						2
MGBC102213	202213	MGBC102213	1	g__Duncaniella	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__						39
MGBC102277	202277	MGBC102277	1	g__CAG-582	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-1000;g__CAG-582;s__						2
MGBC102441	202441	MGBC102441	1	s__Dubosiella newyorkensis	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dubosiella;s__Dubosiella newyorkensis						37
MGBC102794	202794	MGBC102794	1	s__Paramuribaculum sp001689565	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__Paramuribaculum sp001689565						98
MGBC102829	202829	MGBC102829	1	s__Blautia_A sp900551075	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900551075						1
MGBC102897	202897	MGBC102897	1	f__Lachnospiraceae	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__						26
MGBC102923	202923	MGBC102923	1	g__UBA7173	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__						12
MGBC102946	202946	MGBC102946	1	f__CAG-822	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-822;g__;s__						3
MGBC102972	202972	MGBC102972	1	g__Duncaniella	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__						39
MGBC103056	203056	MGBC103056	1	s__Dubosiella sp004793885	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dubosiella;s__Dubosiella sp004793885						24
MGBC103062	203062	MGBC103062	1	g__CAG-873	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__						3
MGBC103140	203140	MGBC103140	1	s__Blautia coccoides_A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia coccoides_A						13
MGBC103219	203219	MGBC103219	1	g__UBA2730	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-611;g__UBA2730;s__						4
MGBC103251	203251	MGBC103251	1	g__UBA5026	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-822;g__UBA5026;s__						1
MGBC103294	203294	MGBC103294	1	g__CAG-873	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__						51
MGBC103306	203306	MGBC103306	1	g__CAG-873	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__						46
MGBC103317	203317	MGBC103317	1	g__Alistipes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__						13
MGBC103325	203325	MGBC103325	1	g__CAG-267	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__CAG-267;s__						24
MGBC103329	203329	MGBC103329	1	g__CAG-873	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__						48
MGBC103338	203338	MGBC103338	1	s__CAG-873 sp900550395	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp900550395						15
MGBC103387	203387	MGBC103387	1	g__51-20	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__51-20;s__						15
MGBC103398	203398	MGBC103398	1	s__Pseudomonas_E fluorescens_BA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E fluorescens_BA						1
MGBC103445	203445	MGBC103445	1	g__Helicobacter_C	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_C;s__						22
MGBC103454	203454	MGBC103454	1	g__UBA1436	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__Elusimicrobiales;f__Elusimicrobiaceae;g__UBA1436;s__						12
MGBC103458	203458	MGBC103458	1	s__CAG-495 sp900538765	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__CAG-495;s__CAG-495 sp900538765						4
MGBC103503	203503	MGBC103503	1	s__Enterococcus_D gallinarum	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_D;s__Enterococcus_D gallinarum						6
MGBC103508	203508	MGBC103508	1	g__Duncaniella	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__						75
MGBC103592	203592	MGBC103592	1	s__Parabacteroides merdae	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides merdae						3
MGBC103678	203678	MGBC103678	1	f__Lachnospiraceae	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__						30
MGBC103686	203686	MGBC103686	1	g__UBA3282	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3282;s__						60
MGBC103718	203718	MGBC103718	1	g__UMGS1071	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1071;s__						19
MGBC103721	203721	MGBC103721	1	g__Ruminococcus	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus;s__						1
MGBC103936	203936	MGBC103936	1	g__TF01-11	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__TF01-11;s__						6
MGBC104027	204027	MGBC104027	1	g__Oscillibacter	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__						9
MGBC104031	204031	MGBC104031	1	g__14-2	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__14-2;s__						26
MGBC104191	204191	MGBC104191	1	g__Oscillibacter	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__						21
MGBC104195	204195	MGBC104195	1	g__CAG-303	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-303;s__						51
MGBC104239	204239	MGBC104239	1	s__Parabacteroides distasonis_A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis_A						107
MGBC104261	204261	MGBC104261	1	g__Alistipes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__						30
MGBC104323	204323	MGBC104323	1	g__UMGS268	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Anaeroplasmataceae;g__UMGS268;s__						4
MGBC104324	204324	MGBC104324	1	g__Prevotella	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__						4
MGBC104355	204355	MGBC104355	1	g__CAG-495	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__CAG-495;s__						28
MGBC104380	204380	MGBC104380	1	f__Oscillospiraceae	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__						10
MGBC104416	204416	MGBC104416	1	g__CAG-873	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__						84
MGBC104426	204426	MGBC104426	1	g__Duncaniella	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__						27
MGBC104636	204636	MGBC104636	1	o__Gastranaerophilales	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__;g__;s__						1
MGBC104650	204650	MGBC104650	1	s__Muribaculum sp002473395	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__Muribaculum sp002473395						30
MGBC104683	204683	MGBC104683	1	s__Helicobacter_C magdeburgensis	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_C;s__Helicobacter_C magdeburgensis						1
MGBC104699	204699	MGBC104699	1	f__Lachnospiraceae	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__						19
MGBC104717	204717	MGBC104717	1	g__UBA9475	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UBA9475;s__						1
MGBC104726	204726	MGBC104726	1	g__Alistipes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__						85
MGBC104730	204730	MGBC104730	1	g__Eubacterium_J	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_J;s__						40
MGBC104799	204799	MGBC104799	1	g__RC9	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__RC9;s__						92
MGBC104814	204814	MGBC104814	1	g__UBA11940	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__						1
MGBC104819	204819	MGBC104819	1	g__UBA11940	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__						18
MGBC104832	204832	MGBC104832	1	f__UBA3700	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA3700;g__;s__						1
MGBC104855	204855	MGBC104855	1	s__Helicobacter_D ganmani	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_D;s__Helicobacter_D ganmani						50
MGBC104891	204891	MGBC104891	1	o__Gastranaerophilales	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__;g__;s__						1
MGBC104908	204908	MGBC104908	1	g__UBA11940	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__						28
MGBC104938	204938	MGBC104938	1	g__COE1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__						5
MGBC104949	204949	MGBC104949	1	g__Roseburia	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__						14
MGBC104963	204963	MGBC104963	1	g__UMGS1370	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UMGS1370;s__						11
MGBC104969	204969	MGBC104969	1	g__UBA3282	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3282;s__						36
MGBC104987	204987	MGBC104987	1	o__Gastranaerophilales	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__;g__;s__						2
MGBC105003	205003	MGBC105003	1	s__Helicobacter_C hepaticus	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_C;s__Helicobacter_C hepaticus						17
MGBC105042	205042	MGBC105042	1	g__CAG-475	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-917;g__CAG-475;s__						10
MGBC105045	205045	MGBC105045	1	g__CAG-485	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__						59
MGBC105053	205053	MGBC105053	1	f__UBA3700	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA3700;g__;s__						33
MGBC105056	205056	MGBC105056	1	g__CAG-873	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__						1
MGBC105120	205120	MGBC105120	1	g__CAG-95	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-95;s__						5
MGBC105122	205122	MGBC105122	1	g__UBA9502	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA9502;s__						3
MGBC105132	205132	MGBC105132	1	g__UBA7182	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7182;s__						15
MGBC105142	205142	MGBC105142	1	s__Dorea sp000403455	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__Dorea sp000403455						12
MGBC105161	205161	MGBC105161	1	s__Clostridium_P perfringens	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_P;s__Clostridium_P perfringens						2
MGBC105165	205165	MGBC105165	1	s__Parabacteroides goldsteinii	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides goldsteinii						36
MGBC105174	205174	MGBC105174	1	g__UBA7182	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7182;s__						128
MGBC105190	205190	MGBC105190	1	g__UBA11940	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__						1
MGBC105224	205224	MGBC105224	1	g__CAG-95	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-95;s__						29
MGBC105242	205242	MGBC105242	1	g__Acetatifactor	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__						4
MGBC105254	205254	MGBC105254	1	g__Dorea	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__						1
MGBC105264	205264	MGBC105264	1	g__Rikenella	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenella;s__						10
